"COL0","COL1","COL2","COL3"
"4620591.01",1430.00,125.00,225.00
"4620591.02",2075.00,200.00,325.00
"4620592.00",3830.00,400.00,800.00
"4620593.01",1610.00,165.00,350.00
"4620593.02",2350.00,325.00,420.00
"4620594.01",1445.00,225.00,315.00
"4620594.02",3765.00,365.00,720.00
"4620600.01",1930.00,285.00,400.00
"4620600.02",2145.00,310.00,375.00
"4620600.03",2825.00,420.00,605.00
"4620601.01",1540.00,200.00,345.00
"4620601.02",2485.00,300.00,440.00
"4620602.01",1845.00,260.00,380.00
"4620602.02",1465.00,255.00,315.00
"4620603.01",1760.00,240.00,450.00
"4620603.02",1790.00,325.00,440.00
"4620603.03",1870.00,370.00,350.00
"4620604.01",1630.00,195.00,320.00
"4620604.02",2300.00,355.00,440.00
"4620604.03",1585.00,280.00,340.00
"4620604.04",1725.00,225.00,380.00
"4620604.05",2670.00,340.00,600.00
"4620605.01",1735.00,305.00,405.00
"4620605.02",930.00,55.00,175.00
"4620605.03",3010.00,405.00,670.00
"4620605.04",2510.00,350.00,565.00
"4620605.05",1130.00,140.00,255.00
"4620610.01",2490.00,695.00,630.00
"4620610.02",2280.00,565.00,430.00
"4620610.03",2200.00,435.00,440.00
"4620610.04",2035.00,650.00,460.00
"4620610.05",2390.00,800.00,450.00
"4620610.06",1430.00,360.00,295.00
"4620610.07",1455.00,450.00,350.00
"4620611.01",1435.00,435.00,270.00
"4620611.02",2870.00,755.00,560.00
"4620612.00",2480.00,685.00,425.00
"4620613.00",3800.00,905.00,830.00
"4620614.00",1835.00,355.00,415.00
"4620615.00",2835.00,610.00,615.00
"4620616.00",3400.00,805.00,650.00
"4620617.01",2730.00,515.00,550.00
"4620617.02",2100.00,370.00,405.00
"4620618.00",1825.00,390.00,350.00
"4620619.00",2350.00,355.00,360.00
"4620625.01",3425.00,605.00,715.00
"4620625.02",4140.00,535.00,875.00
"4620626.00",3940.00,370.00,705.00
"4620627.00",2975.00,440.00,570.00
"4620628.01",2450.00,315.00,400.00
"4620628.02",1995.00,185.00,370.00
"4620629.00",1720.00,180.00,325.00
"4620630.01",1835.00,105.00,330.00
"4620630.02",2285.00,110.00,315.00
"4620631.00",4410.00,315.00,855.00
"4620632.01",2535.00,340.00,540.00
"4620632.02",2670.00,315.00,515.00
"4620632.03",2520.00,175.00,515.00
"4620632.04",4180.00,400.00,975.00
"4620633.00",2415.00,170.00,370.00
"4620634.00",1630.00,245.00,280.00
"4620635.00",2495.00,370.00,490.00
"4620636.00",3980.00,670.00,795.00
"4620637.01",2600.00,360.00,480.00
"4620637.02",2655.00,395.00,600.00
"4620638.01",3070.00,455.00,535.00
"4620638.02",1155.00,165.00,215.00
"4620638.03",2260.00,370.00,430.00
"4620638.04",3680.00,780.00,685.00
"4620639.00",2035.00,200.00,345.00
"4620640.00",2055.00,265.00,350.00
"4620641.01",4355.00,580.00,855.00
"4620641.02",1965.00,125.00,250.00
"4620642.00",3855.00,480.00,755.00
"4620643.01",3125.00,195.00,485.00
"4620643.02",3285.00,255.00,630.00
"4620643.03",3125.00,585.00,630.00
"4620644.00",635.00,55.00,135.00
"4620645.00",2225.00,485.00,490.00
"4620646.01",1860.00,495.00,495.00
"4620646.02",1880.00,310.00,465.00
"4620646.03",1665.00,330.00,370.00
"4620647.01",1075.00,85.00,240.00
"4620647.02",3390.00,555.00,720.00
"4620648.00",2620.00,495.00,750.00
"4620649.01",1415.00,240.00,325.00
"4620649.02",2660.00,540.00,745.00
"4620650.01",2005.00,370.00,470.00
"4620650.02",2120.00,470.00,505.00
"4620650.04",4140.00,570.00,900.00
"4620650.05",2030.00,230.00,450.00
"4620651.01",3500.00,525.00,730.00
"4620651.02",4260.00,530.00,810.00
"4620652.01",4370.00,290.00,770.00
"4620652.04",2295.00,165.00,570.00
"4620652.06",2325.00,75.00,335.00
"4620652.07",4895.00,290.00,805.00
"4620652.08",2760.00,265.00,395.00
"4620652.09",2440.00,310.00,460.00
"4620653.00",470.00,10.00,35.00
"4620654.00",290.00,0.00,30.00
"4620655.01",2470.00,410.00,580.00
"4620655.02",3750.00,555.00,770.00
"4620656.01",3660.00,535.00,765.00
"4620656.03",2110.00,255.00,490.00
"4620656.04",4030.00,450.00,770.00
"4620657.01",1895.00,215.00,375.00
"4620657.02",3100.00,395.00,680.00
"4620657.03",2525.00,330.00,495.00
"4620658.01",2325.00,350.00,555.00
"4620658.02",1700.00,190.00,395.00
"4620658.03",4455.00,460.00,890.00
"4620659.04",2630.00,120.00,355.00
"4620659.05",4180.00,190.00,650.00
"4620659.06",1960.00,225.00,370.00
"4620659.08",3640.00,310.00,710.00
"4620659.09",1900.00,175.00,340.00
"4620659.1",1865.00,105.00,210.00
"4620659.11",3460.00,465.00,625.00
"4620660.01",3235.00,235.00,555.00
"4620660.02",2905.00,340.00,565.00
"4620660.03",3790.00,210.00,785.00
"4620661.01",5530.00,490.00,1020.00
"4620661.03",2480.00,235.00,440.00
"4620661.04",2565.00,280.00,540.00
"4620662.00",2565.00,370.00,500.00
"4620675.00",2505.00,380.00,555.00
"4620676.01",1795.00,165.00,335.00
"4620676.02",1360.00,155.00,325.00
"4620676.03",1170.00,120.00,285.00
"4620676.04",1625.00,150.00,410.00
"4620677.01",3055.00,455.00,605.00
"4620677.02",2595.00,470.00,620.00
"4620677.05",2695.00,140.00,475.00
"4620677.06",4595.00,255.00,725.00
"4620677.07",2220.00,240.00,540.00
"4620677.08",4245.00,315.00,930.00
"4620677.09",2440.00,230.00,540.00
"4620677.1",2250.00,200.00,445.00
"4620681.00",1990.00,280.00,450.00
"4620682.02",1260.00,170.00,315.00
"4620682.03",4315.00,420.00,890.00
"4620682.04",1960.00,275.00,480.00
"4620682.05",1660.00,280.00,430.00
"4620682.06",2775.00,310.00,530.00
"4620683.00",3270.00,535.00,745.00
"4620684.03",5135.00,390.00,960.00
"4620684.05",3075.00,350.00,625.00
"4620684.08",3210.00,275.00,625.00
"4620684.09",1895.00,200.00,350.00
"4620684.1",2150.00,240.00,395.00
"4620684.11",2490.00,265.00,480.00
"4620685.02",2265.00,290.00,610.00
"4620685.03",3405.00,405.00,735.00
"4620685.04",1770.00,240.00,405.00
"4620685.05",2400.00,295.00,520.00
"4620685.07",3060.00,310.00,615.00
"4620685.08",5395.00,390.00,900.00
"4620686.01",3230.00,415.00,685.00
"4620686.02",2250.00,355.00,505.00
"4620686.03",1905.00,325.00,430.00
"4620687.01",2485.00,245.00,550.00
"4620687.03",5575.00,480.00,950.00
"4620687.04",2585.00,280.00,575.00
"4620687.06",3055.00,285.00,655.00
"4620687.07",3300.00,340.00,675.00
"4620687.09",1970.00,280.00,475.00
"4620687.1",4915.00,670.00,1045.00
"4620688.02",1615.00,290.00,390.00
"4620688.03",2900.00,630.00,620.00
"4620688.04",3040.00,510.00,710.00
"4620689.01",3825.00,675.00,840.00
"4620689.02",1950.00,415.00,470.00
"4620689.03",4420.00,735.00,1005.00
"4620689.04",3210.00,535.00,645.00
"4620690.00",4040.00,735.00,985.00
"4620691.00",3475.00,640.00,870.00
"4620692.00",5085.00,545.00,980.00
"4620693.00",2625.00,525.00,580.00
"4620694.00",4425.00,530.00,915.00
"4620700.01",2380.00,545.00,555.00
"4620700.03",1325.00,295.00,325.00
"4620700.04",2470.00,435.00,555.00
"4620701.01",1915.00,180.00,360.00
"4620701.02",3545.00,480.00,835.00
"4620702.01",1325.00,60.00,205.00
"4620702.02",3580.00,115.00,530.00
"4620703.02",1945.00,110.00,340.00
"4620703.03",2265.00,125.00,450.00
"4620703.04",2950.00,100.00,435.00
"4620704.01",2710.00,615.00,605.00
"4620704.04",2470.00,200.00,560.00
"4620704.05",3445.00,250.00,755.00
"4620704.06",990.00,85.00,210.00
"4620704.08",2145.00,330.00,660.00
"4620704.09",2650.00,255.00,480.00
"4620705.01",1665.00,60.00,190.00
"4620705.02",2520.00,385.00,455.00
"4620706.00",2190.00,375.00,460.00
"4620707.00",2120.00,440.00,505.00
"4620708.01",2570.00,475.00,535.00
"4620708.02",2270.00,230.00,510.00
"4620709.01",4615.00,495.00,895.00
"4620709.02",3520.00,390.00,690.00
"4620710.03",4865.00,565.00,820.00
"4620710.05",4110.00,275.00,700.00
"4620710.06",1925.00,150.00,290.00
"4620710.07",2655.00,270.00,540.00
"4620710.08",2370.00,350.00,585.00
"4620710.09",2845.00,75.00,355.00
"4620710.1",2450.00,45.00,295.00
"4620710.11",1560.00,160.00,280.00
"4620725.03",1950.00,315.00,450.00
"4620725.04",1795.00,240.00,440.00
"4620725.06",915.00,225.00,200.00
"4620725.07",3685.00,345.00,710.00
"4620725.09",1925.00,115.00,420.00
"4620725.1",2725.00,195.00,465.00
"4620726.01",3245.00,625.00,740.00
"4620726.03",2665.00,490.00,625.00
"4620726.04",1095.00,130.00,280.00
"4620727.01",1585.00,320.00,435.00
"4620727.02",2035.00,335.00,510.00
"4620728.01",3905.00,330.00,775.00
"4620728.02",2270.00,200.00,430.00
"4620728.03",1500.00,210.00,300.00
"4620729.00",2135.00,295.00,475.00
"4620730.01",6415.00,480.00,1130.00
"4620730.02",3760.00,675.00,730.00
"4620731.00",3695.00,945.00,850.00
"4620732.01",3750.00,545.00,715.00
"4620732.03",,,
"4620732.04",2080.00,280.00,385.00
"4620733.01",2285.00,395.00,440.00
"4620733.02",870.00,205.00,150.00
"4620734.03",3095.00,335.00,580.00
"4620734.04",2110.00,330.00,425.00
"4620734.05",4290.00,395.00,760.00
"4620734.06",2735.00,420.00,480.00
"4620734.07",5180.00,530.00,1090.00
"4620735.01",3670.00,555.00,845.00
"4620735.02",4900.00,670.00,965.00
"4620740.01",1110.00,230.00,300.00
"4620740.03",4090.00,595.00,885.00
"4620740.04",5285.00,710.00,975.00
"4620750.01",2870.00,185.00,575.00
"4620750.02",3040.00,135.00,650.00
"4620750.04",1045.00,105.00,270.00
"4620750.06",3265.00,380.00,785.00
"4620750.07",2865.00,350.00,680.00
"4620751.01",3535.00,255.00,865.00
"4620751.02",4305.00,295.00,880.00
"4620755.01",4905.00,685.00,1185.00
"4620755.02",6605.00,535.00,1280.00
"4620756.02",565.00,55.00,155.00
"4620756.03",3840.00,225.00,790.00
"4620756.04",3175.00,245.00,765.00
"4620756.05",3375.00,365.00,810.00
"4620757.00",2555.00,115.00,550.00
"4620758.03",2295.00,105.00,470.00
"4620758.04",3080.00,135.00,540.00
"4620758.05",2330.00,100.00,415.00
"4620758.06",3060.00,315.00,690.00
"4620760.00",3860.00,480.00,765.00
"4620775.00",1260.00,135.00,280.00
"4620776.00",1780.00,250.00,420.00
"4620777.01",2295.00,405.00,540.00
"4620777.02",2670.00,455.00,645.00
"4620780.00",1890.00,360.00,360.00
"4620781.00",2415.00,620.00,525.00
"4620782.00",1650.00,435.00,395.00
"4620783.00",2235.00,560.00,480.00
"4620784.00",1830.00,665.00,460.00
"4620785.00",2325.00,550.00,500.00
"4620786.00",2315.00,415.00,500.00
"4620787.00",4480.00,685.00,900.00
"4620788.00",2920.00,650.00,585.00
"4620789.00",4300.00,665.00,860.00
"4620790.00",4565.00,810.00,855.00
"4620791.00",4950.00,435.00,1045.00
"4620792.00",2555.00,350.00,515.00
"4620800.01",2530.00,245.00,600.00
"4620800.02",2545.00,320.00,750.00
"4620801.00",3755.00,460.00,960.00
"4620802.00",1855.00,270.00,470.00
"4620804.01",3800.00,515.00,945.00
"4620804.02",1160.00,75.00,270.00
"4620805.00",4635.00,565.00,1320.00
"4620806.01",1690.00,220.00,485.00
"4620806.02",2930.00,360.00,835.00
"4620807.01",4425.00,465.00,935.00
"4620807.02",2555.00,380.00,565.00
"4620825.02",2075.00,160.00,490.00
"4620825.03",3110.00,590.00,690.00
"4620825.04",2870.00,360.00,625.00
"4620825.05",2495.00,325.00,530.00
"4620825.06",2645.00,230.00,550.00
"4620825.07",4295.00,215.00,645.00
"4620825.08",1235.00,65.00,160.00
"4620826.02",2295.00,140.00,465.00
"4620826.05",2155.00,195.00,385.00
"4620826.06",2055.00,290.00,410.00
"4620826.07",1740.00,100.00,315.00
"4620826.08",1515.00,0.00,165.00
"4620826.09",1620.00,85.00,255.00
"4620826.1",3365.00,310.00,655.00
"4620826.11",2000.00,160.00,335.00
"4620826.13",2260.00,170.00,340.00
"4620826.14",5885.00,340.00,850.00
"4620827.02",3715.00,560.00,805.00
"4620827.03",4170.00,230.00,715.00
"4620827.04",5145.00,315.00,655.00
"4620828.03",2860.00,185.00,445.00
"4620828.04",2145.00,160.00,425.00
"4620828.05",3130.00,95.00,370.00
"4620828.06",3170.00,105.00,380.00
"4620829.00",4120.00,565.00,925.00
"4620830.01",4095.00,710.00,1040.00
"4620830.03",3160.00,435.00,640.00
"4620830.04",2305.00,290.00,490.00
"4620831.03",2590.00,545.00,740.00
"4620831.04",2800.00,415.00,685.00
"4620831.05",2700.00,280.00,660.00
"4620831.07",1635.00,330.00,335.00
"4620831.08",4455.00,310.00,855.00
"4620831.09",2435.00,320.00,535.00
"4620832.00",,,
"4620833.00",3670.00,465.00,745.00
"4620834.00",1415.00,205.00,280.00
"4620850.01",5670.00,290.00,950.00
"4620850.03",2655.00,305.00,555.00
"4620850.04",2860.00,160.00,445.00
"4620850.05",1975.00,165.00,390.00
"4620851.00",2735.00,305.00,565.00
"4620852.01",4825.00,440.00,795.00
"4620852.02",495.00,85.00,105.00
"4620853.02",3075.00,240.00,460.00
"4620853.03",3150.00,125.00,485.00
"4620853.04",3110.00,200.00,500.00
"4620854.01",2620.00,65.00,240.00
"4620854.02",3045.00,90.00,410.00
"4620855.01",2650.00,115.00,330.00
"4620855.03",2915.00,135.00,450.00
"4620855.04",1750.00,55.00,170.00
"4620856.00",1420.00,125.00,380.00
"4620857.01",2580.00,340.00,505.00
"4620857.02",2335.00,395.00,465.00
"4620857.06",3060.00,405.00,620.00
"4620857.07",4210.00,325.00,745.00
"4620857.08",3105.00,370.00,685.00
"4620857.09",2875.00,160.00,540.00
"4620857.1",3340.00,370.00,625.00
"4620857.11",2200.00,275.00,390.00
"4620857.12",1995.00,300.00,445.00
"4620858.01",2570.00,435.00,635.00
"4620858.02",2140.00,310.00,515.00
"4620858.04",3070.00,285.00,555.00
"4620858.05",1765.00,230.00,320.00
"4620859.00",1480.00,225.00,340.00
"4620860.01",3295.00,310.00,780.00
"4620860.02",1940.00,270.00,410.00
"4620861.00",3700.00,395.00,740.00
"4620862.00",2910.00,105.00,315.00
"4620863.01",1620.00,80.00,170.00
"4620863.02",2850.00,85.00,315.00
"4620864.00",2755.00,45.00,155.00
"4620865.00",970.00,210.00,230.00
"4620866.00",1655.00,315.00,420.00
"4620867.00",3595.00,725.00,770.00
"4620868.01",3115.00,585.00,680.00
"4620868.02",3240.00,790.00,730.00
"4620869.00",1395.00,135.00,310.00
"4620870.01",1930.00,440.00,430.00
"4620870.02",1260.00,265.00,255.00
"4620871.01",1930.00,395.00,385.00
"4620871.02",1060.00,175.00,190.00
"4620872.00",3540.00,795.00,795.00
"4620873.01",2415.00,605.00,515.00
"4620873.02",2440.00,625.00,485.00
"4620874.00",2825.00,545.00,575.00
"4620875.00",2715.00,525.00,560.00
"4620876.01",2005.00,490.00,375.00
"4620876.04",4315.00,230.00,540.00
"4620876.05",4630.00,310.00,800.00
"4620876.06",3115.00,490.00,605.00
"4620876.07",1085.00,85.00,210.00
"4620877.01",4500.00,205.00,485.00
"4620877.02",2960.00,310.00,400.00
"4620878.00",2695.00,585.00,630.00
"4620879.01",1915.00,390.00,415.00
"4620879.02",2125.00,125.00,355.00
"4620880.00",2250.00,330.00,365.00
"4620881.01",2130.00,370.00,355.00
"4620881.02",2050.00,420.00,415.00
"4620882.00",1655.00,320.00,345.00
"4620883.00",1450.00,140.00,210.00
"4620884.01",2080.00,125.00,340.00
"4620884.02",3630.00,330.00,535.00
"4620885.00",1785.00,180.00,245.00
"4620886.01",1825.00,160.00,290.00
"4620886.02",1780.00,105.00,245.00
"4620886.03",1690.00,235.00,340.00
"4620887.03",1840.00,45.00,140.00
"4620887.04",2565.00,100.00,430.00
"4620887.05",2360.00,100.00,325.00
"4620887.06",2580.00,55.00,270.00
"4620887.07",,,
"4620888.01",1935.00,90.00,225.00
"4620888.02",2605.00,60.00,270.00
"4620888.03",2175.00,25.00,250.00
"4620889.01",1120.00,150.00,200.00
"4620889.02",1555.00,70.00,250.00
"4620889.03",2385.00,75.00,360.00
"4620900.00",2240.00,250.00,425.00
"4620901.01",2515.00,295.00,525.00
"4620901.02",2400.00,210.00,495.00
"4620901.03",4530.00,195.00,725.00
"4620902.00",3015.00,265.00,585.00
"4620903.01",3435.00,175.00,500.00
"4620903.04",2170.00,260.00,420.00
"4620903.05",2045.00,195.00,425.00
"4620903.08",1570.00,115.00,335.00
"4620903.09",3560.00,780.00,665.00
"4620903.1",3555.00,750.00,620.00
"4620903.11",2140.00,140.00,325.00
"4620903.12",3225.00,115.00,430.00
"4620903.13",1480.00,135.00,220.00
"4620903.14",1105.00,170.00,205.00
"4620904.02",2620.00,260.00,475.00
"4620904.03",2655.00,165.00,410.00
"4620904.04",1930.00,165.00,390.00
"4620904.05",2090.00,115.00,440.00
"4620904.06",2470.00,130.00,445.00
"4620926.01",2715.00,355.00,625.00
"4620926.02",2515.00,365.00,555.00
"4620929.01",1985.00,120.00,310.00
"4620929.02",2575.00,180.00,525.00
"4620930.02",4900.00,275.00,780.00
"4620930.03",1370.00,95.00,140.00
"4620930.04",3455.00,165.00,500.00
"4621000.00",2910.00,640.00,610.00
"4621001.00",1835.00,350.00,325.00
"4621002.00",3145.00,355.00,615.00
"4621003.00",3695.00,420.00,755.00
"4621004.00",2885.00,380.00,665.00
"4621005.00",4330.00,635.00,1050.00
"4621006.00",11555.00,3020.00,2350.00
"4622001.00",4145.00,470.00,880.00
"4622002.00",275.00,20.00,45.00
"4622003.00",,,
"4622004.00",1565.00,350.00,415.00
"4622005.00",1980.00,360.00,505.00
"4622006.00",,,
"4622007.00",665.00,165.00,160.00
"4622008.00",1475.00,400.00,375.00
"4622009.00",3110.00,540.00,665.00
"4622010.00",,,
"4622011.00",1240.00,340.00,345.00
"4622012.00",785.00,100.00,205.00
"4622013.00",1960.00,235.00,385.00
"4622014.00",1480.00,290.00,335.00
"4622015.00",2295.00,525.00,635.00
"4622100.00",1100.00,125.00,245.00
"4622101.00",575.00,65.00,110.00
"4622102.00",670.00,95.00,165.00
"4622103.00",915.00,140.00,270.00
"4622200.00",3065.00,305.00,640.00
"4622201.00",2445.00,205.00,470.00
"4622202.00",4040.00,320.00,735.00
"4622203.00",2095.00,240.00,425.00
"4622204.00",505.00,55.00,140.00
"4622205.00",2160.00,170.00,420.00
"4622206.00",1090.00,65.00,265.00
"4622207.00",485.00,45.00,95.00
"4622300.00",1440.00,210.00,290.00
"4622301.00",1585.00,415.00,325.00
"4622302.00",1430.00,255.00,385.00
"4622303.00",,,
"4622304.00",600.00,40.00,110.00
"4622400.00",1510.00,300.00,320.00
"4622401.00",2065.00,305.00,370.00
"4622402.00",1855.00,160.00,280.00
