"COL0","COL1","COL2"
"4620591.02",1125.00,200.00
"4620592.00",1970.00,425.00
"4620593.01",1230.00,130.00
"4620593.02",1185.00,275.00
"4620594.01",695.00,190.00
"4620594.02",2075.00,370.00
"4620600.01",1095.00,220.00
"4620600.02",1050.00,235.00
"4620600.03",1545.00,340.00
"4620601.01",880.00,175.00
"4620601.02",1150.00,245.00
"4620602.01",1080.00,210.00
"4620602.02",755.00,160.00
"4620603.01",1000.00,225.00
"4620603.02",1070.00,255.00
"4620603.03",935.00,220.00
"4620604.01",930.00,130.00
"4620604.02",1250.00,295.00
"4620604.03",855.00,185.00
"4620604.04",980.00,225.00
"4620604.05",1455.00,290.00
"4620605.01",935.00,220.00
"4620605.02",595.00,65.00
"4620605.03",1600.00,350.00
"4620605.04",1375.00,295.00
"4620605.05",625.00,115.00
"4620610.01",1180.00,405.00
"4620610.02",1210.00,340.00
"4620610.03",1340.00,320.00
"4620610.04",940.00,420.00
"4620610.05",1125.00,545.00
"4620610.06",720.00,245.00
"4620610.07",845.00,360.00
"4620611.01",770.00,240.00
"4620611.02",1425.00,395.00
"4620612.00",1200.00,355.00
"4620613.00",1845.00,465.00
"4620614.00",850.00,220.00
"4620615.00",1455.00,425.00
"4620616.00",1645.00,555.00
"4620617.01",1465.00,330.00
"4620617.02",1025.00,280.00
"4620618.00",800.00,220.00
"4620619.00",1125.00,245.00
"4620625.01",1745.00,345.00
"4620625.02",2175.00,420.00
"4620626.00",2050.00,355.00
"4620627.00",1600.00,375.00
"4620628.01",1370.00,320.00
"4620628.02",1070.00,250.00
"4620629.00",1025.00,150.00
"4620630.01",1115.00,135.00
"4620630.02",1545.00,185.00
"4620631.00",2205.00,225.00
"4620632.01",1465.00,250.00
"4620632.02",1400.00,290.00
"4620632.03",1370.00,190.00
"4620632.04",2050.00,365.00
"4620633.00",1475.00,235.00
"4620634.00",840.00,155.00
"4620635.00",1215.00,270.00
"4620636.00",2010.00,590.00
"4620637.01",1485.00,275.00
"4620637.02",1120.00,295.00
"4620638.01",1520.00,275.00
"4620638.02",600.00,105.00
"4620638.03",1150.00,250.00
"4620638.04",1635.00,460.00
"4620639.00",955.00,175.00
"4620640.00",1000.00,225.00
"4620641.01",2015.00,440.00
"4620641.02",930.00,115.00
"4620642.00",2000.00,420.00
"4620643.01",1545.00,155.00
"4620643.02",1825.00,260.00
"4620643.03",1500.00,350.00
"4620644.00",340.00,55.00
"4620645.00",1180.00,250.00
"4620646.01",885.00,250.00
"4620646.02",1070.00,255.00
"4620646.03",860.00,160.00
"4620647.01",870.00,70.00
"4620647.02",1910.00,330.00
"4620648.00",1465.00,270.00
"4620649.01",760.00,130.00
"4620649.02",1590.00,310.00
"4620650.01",1280.00,230.00
"4620650.02",1110.00,210.00
"4620650.04",1905.00,355.00
"4620650.05",1130.00,190.00
"4620651.01",1830.00,295.00
"4620651.02",2150.00,245.00
"4620652.01",2335.00,300.00
"4620652.04",1265.00,185.00
"4620652.06",1190.00,180.00
"4620652.07",2565.00,305.00
"4620652.08",1415.00,155.00
"4620652.09",1175.00,145.00
"4620653.00",305.00,30.00
"4620654.00",215.00,15.00
"4620655.01",1165.00,255.00
"4620655.02",1895.00,350.00
"4620656.01",1915.00,315.00
"4620656.03",1145.00,180.00
"4620656.04",2050.00,245.00
"4620657.01",1080.00,215.00
"4620657.02",1735.00,320.00
"4620657.03",1300.00,175.00
"4620658.01",1325.00,215.00
"4620658.02",1010.00,115.00
"4620658.03",2375.00,375.00
"4620659.04",1325.00,145.00
"4620659.05",2225.00,330.00
"4620659.06",1045.00,170.00
"4620659.08",1870.00,350.00
"4620659.09",920.00,90.00
"4620659.1",945.00,85.00
"4620659.11",1775.00,375.00
"4620660.01",1610.00,200.00
"4620660.02",1630.00,320.00
"4620660.03",2005.00,285.00
"4620661.01",2805.00,510.00
"4620661.03",1320.00,175.00
"4620661.04",1380.00,325.00
"4620662.00",1420.00,220.00
"4620675.00",1710.00,255.00
"4620676.01",1035.00,175.00
"4620676.02",915.00,120.00
"4620676.03",775.00,105.00
"4620676.04",1005.00,110.00
"4620677.01",1760.00,295.00
"4620677.02",1530.00,375.00
"4620677.05",1455.00,135.00
"4620677.06",2435.00,315.00
"4620677.07",1215.00,275.00
"4620677.08",2190.00,350.00
"4620677.09",1315.00,220.00
"4620677.1",1340.00,200.00
"4620681.00",1055.00,165.00
"4620682.02",695.00,135.00
"4620682.03",2245.00,530.00
"4620682.04",1035.00,155.00
"4620682.05",950.00,160.00
"4620682.06",1445.00,210.00
"4620683.00",1750.00,320.00
"4620684.03",2670.00,315.00
"4620684.05",1685.00,210.00
"4620684.08",1690.00,220.00
"4620684.09",1015.00,145.00
"4620684.1",1200.00,200.00
"4620684.11",1325.00,240.00
"4620685.02",1275.00,215.00
"4620685.03",1635.00,310.00
"4620685.04",980.00,135.00
"4620685.05",1260.00,250.00
"4620685.07",1695.00,240.00
"4620685.08",2870.00,540.00
"4620686.01",1700.00,220.00
"4620686.02",1210.00,195.00
"4620686.03",1010.00,175.00
"4620687.01",1365.00,190.00
"4620687.03",2895.00,360.00
"4620687.04",1480.00,245.00
"4620687.06",1600.00,330.00
"4620687.07",1800.00,255.00
"4620687.09",1030.00,170.00
"4620687.1",2535.00,325.00
"4620688.02",875.00,130.00
"4620688.03",1545.00,255.00
"4620688.04",1650.00,295.00
"4620689.01",2000.00,335.00
"4620689.02",1095.00,215.00
"4620689.03",2290.00,515.00
"4620689.04",1610.00,290.00
"4620690.00",2240.00,340.00
"4620691.00",1860.00,300.00
"4620692.00",2750.00,430.00
"4620693.00",1430.00,325.00
"4620694.00",2350.00,355.00
"4620700.01",1250.00,420.00
"4620700.03",790.00,190.00
"4620700.04",1265.00,330.00
"4620701.01",925.00,215.00
"4620701.02",1835.00,395.00
"4620702.01",800.00,95.00
"4620702.02",2095.00,285.00
"4620703.02",1160.00,120.00
"4620703.03",1300.00,200.00
"4620703.04",1665.00,195.00
"4620704.01",1315.00,355.00
"4620704.04",1355.00,255.00
"4620704.05",1860.00,315.00
"4620704.06",525.00,50.00
"4620704.08",1195.00,155.00
"4620704.09",1355.00,320.00
"4620705.01",1090.00,125.00
"4620705.02",1320.00,315.00
"4620706.00",945.00,245.00
"4620707.00",925.00,260.00
"4620708.01",1365.00,430.00
"4620708.02",1240.00,215.00
"4620709.01",2515.00,400.00
"4620709.02",1875.00,385.00
"4620710.03",2555.00,475.00
"4620710.05",2145.00,210.00
"4620710.06",1070.00,155.00
"4620710.07",1410.00,265.00
"4620710.08",1255.00,300.00
"4620710.09",1530.00,140.00
"4620710.1",1375.00,140.00
"4620710.11",840.00,180.00
"4620725.03",1115.00,185.00
"4620725.04",965.00,135.00
"4620725.06",485.00,45.00
"4620725.07",1900.00,315.00
"4620725.09",1035.00,150.00
"4620725.1",1365.00,200.00
"4620726.01",1870.00,405.00
"4620726.03",1395.00,350.00
"4620726.04",600.00,85.00
"4620727.01",880.00,225.00
"4620727.02",1070.00,200.00
"4620728.01",1985.00,390.00
"4620728.02",1285.00,255.00
"4620728.03",785.00,115.00
"4620729.00",1050.00,225.00
"4620730.01",3325.00,410.00
"4620730.02",2030.00,320.00
"4620731.00",1850.00,360.00
"4620732.01",2000.00,265.00
"4620732.03",,
"4620732.04",1155.00,130.00
"4620733.01",1195.00,145.00
"4620733.02",490.00,55.00
"4620734.03",1675.00,275.00
"4620734.04",1120.00,165.00
"4620734.05",2175.00,300.00
"4620734.06",1465.00,280.00
"4620734.07",2655.00,400.00
"4620735.01",1925.00,370.00
"4620735.02",2530.00,530.00
"4620740.01",600.00,40.00
"4620740.03",2095.00,240.00
"4620740.04",2630.00,310.00
"4620750.01",1560.00,175.00
"4620750.02",1610.00,180.00
"4620750.04",585.00,95.00
"4620750.06",1590.00,385.00
"4620750.07",1490.00,275.00
"4620751.01",1965.00,330.00
"4620751.02",2315.00,295.00
"4620755.01",2475.00,475.00
"4620755.02",3285.00,465.00
"4620756.02",295.00,25.00
"4620756.03",2135.00,220.00
"4620756.04",1680.00,290.00
"4620756.05",1715.00,385.00
"4620757.00",1600.00,180.00
"4620758.03",1300.00,115.00
"4620758.04",1665.00,125.00
"4620758.05",1265.00,115.00
"4620758.06",1685.00,260.00
"4620760.00",2040.00,300.00
"4620775.00",690.00,80.00
"4620776.00",1055.00,135.00
"4620777.01",1290.00,210.00
"4620777.02",1420.00,290.00
"4620780.00",975.00,230.00
"4620781.00",1340.00,285.00
"4620782.00",810.00,235.00
"4620783.00",1280.00,280.00
"4620784.00",800.00,275.00
"4620785.00",1165.00,355.00
"4620786.00",1255.00,250.00
"4620787.00",2400.00,460.00
"4620788.00",1565.00,390.00
"4620789.00",2335.00,495.00
"4620790.00",2325.00,340.00
"4620791.00",2720.00,465.00
"4620792.00",1320.00,150.00
"4620800.01",1385.00,230.00
"4620800.02",1455.00,295.00
"4620801.00",2090.00,435.00
"4620802.00",935.00,170.00
"4620804.01",2070.00,430.00
"4620804.02",630.00,115.00
"4620805.00",2635.00,425.00
"4620806.01",985.00,270.00
"4620806.02",1610.00,255.00
"4620807.01",2490.00,315.00
"4620807.02",1440.00,230.00
"4620825.02",1110.00,200.00
"4620825.03",1565.00,400.00
"4620825.04",1560.00,280.00
"4620825.05",1435.00,280.00
"4620825.06",1530.00,240.00
"4620825.07",1965.00,240.00
"4620825.08",540.00,75.00
"4620826.02",1450.00,220.00
"4620826.05",1250.00,170.00
"4620826.06",1155.00,200.00
"4620826.07",1250.00,115.00
"4620826.08",1040.00,115.00
"4620826.09",965.00,85.00
"4620826.1",1785.00,220.00
"4620826.11",1175.00,230.00
"4620826.13",1220.00,125.00
"4620826.14",2785.00,395.00
"4620827.02",1875.00,500.00
"4620827.03",2240.00,250.00
"4620827.04",2720.00,365.00
"4620828.03",1570.00,245.00
"4620828.04",1140.00,245.00
"4620828.05",1725.00,200.00
"4620828.06",1795.00,245.00
"4620829.00",2250.00,360.00
"4620830.01",2070.00,390.00
"4620830.03",1635.00,325.00
"4620830.04",1240.00,190.00
"4620831.03",1505.00,265.00
"4620831.04",1440.00,290.00
"4620831.05",1435.00,170.00
"4620831.07",895.00,140.00
"4620831.08",2345.00,290.00
"4620831.09",1235.00,175.00
"4620832.00",,
"4620833.00",1920.00,255.00
"4620834.00",785.00,100.00
"4620850.01",3055.00,425.00
"4620850.03",1355.00,325.00
"4620850.04",1440.00,170.00
"4620850.05",1070.00,235.00
"4620851.00",1470.00,300.00
"4620852.01",2605.00,255.00
"4620852.02",255.00,35.00
"4620853.02",1645.00,270.00
"4620853.03",1685.00,310.00
"4620853.04",1700.00,160.00
"4620854.01",1665.00,175.00
"4620854.02",1895.00,190.00
"4620855.01",1615.00,270.00
"4620855.03",1820.00,385.00
"4620855.04",965.00,75.00
"4620856.00",720.00,125.00
"4620857.01",1435.00,245.00
"4620857.02",1285.00,260.00
"4620857.06",1645.00,285.00
"4620857.07",2115.00,300.00
"4620857.08",1640.00,395.00
"4620857.09",1550.00,195.00
"4620857.1",1730.00,215.00
"4620857.11",1105.00,160.00
"4620857.12",1145.00,205.00
"4620858.01",1475.00,240.00
"4620858.02",1155.00,225.00
"4620858.04",1680.00,195.00
"4620858.05",885.00,125.00
"4620859.00",805.00,170.00
"4620860.01",1910.00,340.00
"4620860.02",1090.00,255.00
"4620861.00",1720.00,355.00
"4620862.00",1775.00,285.00
"4620863.01",955.00,130.00
"4620863.02",1480.00,275.00
"4620864.00",1520.00,235.00
"4620865.00",430.00,115.00
"4620866.00",710.00,215.00
"4620867.00",1565.00,410.00
"4620868.01",1635.00,305.00
"4620868.02",1620.00,450.00
"4620869.00",865.00,155.00
"4620870.01",995.00,310.00
"4620870.02",635.00,130.00
"4620871.01",1020.00,250.00
"4620871.02",590.00,105.00
"4620872.00",1625.00,460.00
"4620873.01",1110.00,380.00
"4620873.02",1110.00,355.00
"4620874.00",1305.00,355.00
"4620875.00",1135.00,295.00
"4620876.01",1030.00,310.00
"4620876.04",2330.00,295.00
"4620876.05",2530.00,390.00
"4620876.06",1600.00,350.00
"4620876.07",545.00,80.00
"4620877.01",2460.00,310.00
"4620877.02",1640.00,315.00
"4620878.00",1200.00,345.00
"4620879.01",795.00,200.00
"4620879.02",975.00,205.00
"4620880.00",975.00,230.00
"4620881.01",880.00,215.00
"4620881.02",925.00,220.00
"4620882.00",690.00,175.00
"4620883.00",620.00,100.00
"4620884.01",890.00,120.00
"4620884.02",1715.00,345.00
"4620885.00",830.00,175.00
"4620886.01",880.00,165.00
"4620886.02",910.00,140.00
"4620886.03",765.00,170.00
"4620887.03",1150.00,130.00
"4620887.04",1545.00,285.00
"4620887.05",1490.00,210.00
"4620887.06",1385.00,205.00
"4620887.07",,
"4620888.01",945.00,150.00
"4620888.02",1690.00,160.00
"4620888.03",1405.00,110.00
"4620889.01",645.00,150.00
"4620889.02",885.00,145.00
"4620889.03",1435.00,205.00
"4620900.00",1365.00,230.00
"4620901.01",1390.00,280.00
"4620901.02",1350.00,175.00
"4620901.03",2520.00,265.00
"4620902.00",1635.00,310.00
"4620903.01",2005.00,275.00
"4620903.04",1270.00,185.00
"4620903.05",1165.00,190.00
"4620903.08",815.00,115.00
"4620903.09",1810.00,285.00
"4620903.1",1805.00,270.00
"4620903.11",1120.00,175.00
"4620903.12",1770.00,295.00
"4620903.13",820.00,70.00
"4620903.14",620.00,75.00
"4620904.02",1355.00,235.00
"4620904.03",1390.00,245.00
"4620904.04",1080.00,140.00
"4620904.05",1185.00,190.00
"4620904.06",1300.00,170.00
"4620926.01",1440.00,245.00
"4620926.02",1385.00,195.00
"4620929.01",1130.00,175.00
"4620929.02",1410.00,195.00
"4620930.02",2680.00,440.00
"4620930.03",830.00,70.00
"4620930.04",1965.00,210.00
"4621000.00",1550.00,305.00
"4621001.00",970.00,160.00
"4621002.00",1755.00,230.00
"4621003.00",2050.00,285.00
"4621004.00",1560.00,300.00
"4621005.00",2395.00,310.00
"4621006.00",6030.00,1090.00
"4622001.00",2360.00,340.00
"4622002.00",125.00,15.00
"4622003.00",,
"4622004.00",800.00,210.00
"4622005.00",950.00,245.00
"4622006.00",,
"4622007.00",220.00,80.00
"4622008.00",600.00,195.00
"4622009.00",1555.00,305.00
"4622010.00",,
"4622011.00",475.00,160.00
"4622012.00",405.00,65.00
"4622013.00",1210.00,210.00
"4622014.00",930.00,185.00
"4622015.00",1130.00,290.00
"4622100.00",610.00,65.00
"4622101.00",305.00,45.00
"4622102.00",325.00,30.00
"4622103.00",515.00,70.00
"4622200.00",1695.00,315.00
"4622201.00",1330.00,205.00
"4622202.00",2235.00,345.00
"4622203.00",1105.00,115.00
"4622204.00",260.00,20.00
"4622205.00",1185.00,185.00
"4622206.00",605.00,70.00
"4622207.00",275.00,10.00
"4622300.00",870.00,175.00
"4622301.00",705.00,215.00
"4622302.00",800.00,175.00
"4622303.00",,
"4622304.00",335.00,55.00
"4622400.00",840.00,90.00
"4622401.00",1125.00,150.00
"4622402.00",980.00,115.00
