geo_uidSTR,pop_per_sqkm,pop_total_2016
4620000,890.2,4098927
4620001,5710,2638
4620002,9029.3,3516
4620003,8612.2,6373
4620004,7087.7,3176
4620005,5418.8,3060
4620006,6891.4,4467
4620007,5210.5,5682
4620008,4842.6,3016
4620009,813.8,3470
4620010,1605,1479
4620011,5301.8,6622
4620012.01,10525.9,2502
4620012.02,10176.6,4034
4620013,4764.8,5166
4620014.01,8375,7545
4620014.02,0,0
4620015,10883.3,4103
4620016,4893,2539
4620017,9541,2141
4620018,5448.6,2004
4620019,7029.1,2340
4620021,6523,2891
4620022,9069.6,1550
4620023,3581,1282
4620024,9594.1,2647
4620025,13500.4,3016
4620026,14757,2581
4620027,17386.7,1650
4620028,13178.9,2077
4620029,9170,3679
4620030,10381.3,3131
4620031,10350.3,2659
4620032,13049.5,1609
4620033,11317.7,1735
4620034,11985.9,2559
4620035,11036.4,2002
4620036,11174.6,2074
4620037,6598.8,3337
4620038,9115.5,1917
4620039,4963.3,2366
4620040,0,0
4620041,6476.5,1680
4620042,9200.8,944
4620043,2869.7,1015
4620044,15051.3,2053
4620045,11925,1400
4620046,12539.3,1995
4620047,6272.2,742
4620048,15780.5,2214
4620049,7990.3,1312
4620050,18526.9,1308
4620051,6836.4,1463
4620052,14063.2,1959
4620053,10092.8,1088
4620054,9342.2,1406
4620055.01,6500,4758
4620055.02,625.5,822
4620056,5381.4,1552
4620057,11105.8,1617
4620058,7417.4,1123
4620059,6827.8,1384
4620060,13632.4,1246
4620061,3221.2,699
4620062,3006,2492
4620063,3120.5,1134
4620064,7342.8,1763
4620065.01,50277.6,6883
4620065.02,25065.4,3642
4620066.01,12845.3,2939
4620066.02,12246.8,2213
4620067,12394.3,1817
4620068,12743.6,2053
4620069.01,9101.1,3959
4620069.02,5663.1,1469
4620070.01,7644.1,2002
4620070.02,9341.6,3334
4620071,0,0
4620072,1386.8,3585
4620073,5598.3,1848
4620074,9016,3610
4620075,9045.9,2797
4620076,8100.3,2989
4620077,7098.1,2967
4620078,10773.2,4013
4620079,7716.4,4599
4620080,8657,780
4620081,13316.9,3501
4620082,7417.5,2226
4620083,8088.7,3339
4620084,7547.2,2600
4620085,662.9,751
4620086,7719.2,4068
4620087,12975.2,3406
4620088,10479.3,3542
4620089,9292.8,4888
4620090,10544.1,4593
4620091,5,5
4620092,10967,6124
4620093,4409.7,3242
4620094.01,3403,6102
4620094.02,2.7,5
4620095,9525.7,2109
4620096,11786.6,2276
4620097.01,17819.7,6285
4620097.02,9728.3,3831
4620098,5139.8,5332
4620099,8138.6,5627
4620100.01,8864.9,4061
4620100.02,9769.4,3474
4620101.01,11360.7,4016
4620101.02,10616.1,3808
4620102,7141.9,4213
4620103,7246.2,2413
4620104,7427.6,2821
4620105,11018.8,3342
4620106,8901.1,2114
4620107,9942,1544
4620108,7283.2,4107
4620109,12709.8,2120
4620110,15612.5,3836
4620111,8723.8,6542
4620112.01,8481.7,5346
4620112.02,14791.9,4087
4620113,10290.6,5099
4620114,7020.8,1989
4620115.01,9155.3,2005
4620115.02,13734.5,5866
4620116,10366.4,6649
4620117,16114.6,4359
4620118,14519.4,4411
4620119,11013.2,6337
4620120.01,2160.1,5690
4620120.02,5186.5,1029
4620121,4590,1769
4620122,9900.9,6595
4620123,15226.6,6249
4620124,15136.1,5729
4620125,13184.8,6272
4620126,3399,2536
4620127.01,11425.6,5554
4620127.02,3.8,5
4620128,1162.2,3491
4620129.01,13484.5,3835
4620129.02,9581.9,3438
4620130,19192.2,2946
4620131,29961.8,3137
4620132,18214.2,4865
4620133,17237.1,2508
4620134,12276.4,1057
4620135,14589.2,1758
4620136,15283.7,2774
4620137,6390.6,1165
4620138,7152.1,1994
4620139,14394.6,3174
4620140,12023.7,1420
4620141,13513.7,1623
4620142,15050,1657
4620143,13985,2418
4620144,18387.4,3512
4620145,0,0
4620146,16897.5,2391
4620147,16353.4,2749
4620148,9164.9,1306
4620149,22856.1,3161
4620150,15030.4,2474
4620151,18915.5,2215
4620152,11180.4,1525
4620153,2804.6,785
4620154,9196.1,1144
4620155,16537.7,1753
4620156,13985.5,1923
4620157,13242.2,2132
4620158,14623.7,2021
4620159,15699.3,1942
4620160,14550.7,1749
4620161,13893.7,1934
4620162,16870.3,1574
4620163,15304,3096
4620164,18746.4,1301
4620165,16355.8,2455
4620166,2091.1,491
4620167,12397.9,2549
4620168,16946.6,2886
4620169,15064.6,2216
4620170,13343.9,2111
4620171,9805.3,4735
4620172,12593.3,2496
4620173,10867.7,2029
4620174,9091.3,2091
4620175,16621.8,1978
4620176,13789.5,1572
4620177,13623.5,1346
4620178,8406.6,2353
4620179,7668.7,3819
4620180,12790.6,3378
4620181,13341.3,4468
4620182,15638.6,2155
4620183,16742.6,2205
4620184,13426.1,2943
4620185,13274.8,5217
4620186,11722.6,4539
4620187.01,8311.4,3032
4620187.03,13501,4805
4620187.04,7381.1,5679
4620188.01,14457.7,2186
4620188.02,11679.1,2671
4620189,0,0
4620190.01,7929.1,3599
4620190.02,3974.5,4145
4620191,3647.6,6171
4620192,4219.6,3290
4620193,7567.1,2003
4620194,6248.6,7557
4620195.01,6310.5,3479
4620195.02,8981.8,5390
4620195.03,5668.4,4978
4620196,9743.1,3944
4620197,8434.6,5027
4620198,7637.6,4940
4620199,11597.9,2613
4620200,15192.1,4667
4620201,7588.5,7118
4620202,6871.6,4224
4620203,11349.3,2700
4620204,11376.2,2670
4620205,11955.9,2115
4620206,11042.2,2564
4620207,13021.9,3331
4620208,12374.5,2465
4620209,8755.6,5819
4620210,12142.9,3961
4620211,12923.5,2281
4620212,13221.6,2565
4620213,13911.2,2664
4620214,10784.1,2737
4620215,12953,3031
4620216,6898.4,2233
4620217,16307.7,2650
4620218,10848.8,3042
4620219,8881.1,2778
4620220,13808,5798
4620221,18217.2,5988
4620222,18016.1,3587
4620223.01,26872,3883
4620223.02,15796.2,3085
4620224,15681.5,5937
4620225,2150.5,1400
4620226,12833.8,3143
4620227,13736,1592
4620228,15216.6,1721
4620229,0,0
4620230,16333.6,1880
4620231,16325,1688
4620232,10255.2,3737
4620233,19394.2,2017
4620234,14635.5,2188
4620235,16912.5,1972
4620236,16335.8,1761
4620237,15764.1,3435
4620238,14439.7,2358
4620239,8664.2,4696
4620240,10487.6,3226
4620241,14125.1,2914
4620242,16903.3,6261
4620243,15492.7,3946
4620244,12205.1,2142
4620245,13142.1,2886
4620247,11595,2239
4620249,7913.2,4194
4620250,9038.6,4052
4620251.01,8046.3,3822
4620251.02,11508.9,2723
4620252,16148.6,5258
4620253,7497.3,3436
4620254,6630.3,4069
4620256,2049.7,3772
4620257,3398.5,4520
4620258,13045.2,5162
4620259,16106.3,5969
4620260,4264.9,2312
4620261,4309.8,2713
4620262,5972,4525
4620263,5431.5,4085
4620264.01,4515.8,5530
4620264.02,5754.2,5249
4620265,9447.4,4565
4620266,4456.4,3357
4620267,5626.7,6334
4620268.01,11656.3,6777
4620268.02,18487.5,5598
4620268.03,0,0
4620269,5358.1,4137
4620270,6672.1,4529
4620271,7224.4,3454
4620272,7524.3,3796
4620273,8188.7,4661
4620274,6287,3014
4620275,6461,4011
4620276,5954.6,5112
4620277,7882,4410
4620278,7364.8,4343
4620279,5602.8,5261
4620280,7605.3,4494
4620281,3607.4,3914
4620282,5272.2,7032
4620283.01,6017.7,3663
4620283.02,6076.7,2853
4620284,5957,3467
4620285,4348.7,6577
4620286,6705,5305
4620287.01,12376.1,6641
4620287.02,4193.7,4642
4620288,805.1,1519
4620290.01,2204.8,2655
4620290.02,3188.5,5738
4620290.03,6526.4,4171
4620290.04,2430.9,6889
4620290.05,2296.7,5100
4620290.06,6002.2,5381
4620290.07,7075.9,4121
4620290.08,3610.3,4076
4620290.09,4416.7,4910
4620291.01,3995.7,3923
4620291.03,765.6,5352
4620291.04,1634.4,5230
4620300,5226.6,2699
4620301,11936.6,5005
4620302,14176.4,2926
4620303,8687.9,2291
4620304,12092.3,3277
4620305,10727.1,3762
4620306,12766.8,2847
4620307,17736.2,3079
4620308,15477,2693
4620309,7313.7,1364
4620310,7915.4,3387
4620311,11203.5,4003
4620312,10563.9,3241
4620313,8173.6,3249
4620314,9573,2466
4620315,295.9,240
4620316,3930.8,2239
4620317.02,6100.2,7929
4620317.03,5387.8,4349
4620317.04,5031.7,8183
4620320,6895.9,4683
4620321,2624,2921
4620322.02,4956.9,3850
4620322.03,6194.3,4751
4620322.04,7335.5,3345
4620323,4618.4,2862
4620324.01,7279.5,4894
4620324.02,4178.7,2806
4620325.01,9424.2,3715
4620325.02,6733.2,6575
4620325.03,7927.2,3702
4620325.05,7659.6,6994
4620325.06,5458.7,4225
4620326.01,1111.1,2822
4620326.02,3117.3,3386
4620326.03,3771.4,4976
4620327,4342.3,4737
4620328,4383.2,1940
4620329,5832.1,3669
4620330,2546,5239
4620340,3689.6,5050
4620350,4511.3,2525
4620351,10811.3,4984
4620352,6415.9,3113
4620353,7238.7,2999
4620354,3816.3,3092
4620355,5117.1,1573
4620356,2016.9,2026
4620360,1349,1923
4620361,12602.1,1419
4620362,4517.9,2366
4620363,13402.1,4936
4620364,13293.5,3112
4620365,12414.3,3080
4620366,7282.5,2570
4620367,8305.3,4548
4620370,3884.2,6973
4620380,5305.1,4060
4620381,10691.8,6290
4620382.01,6666.1,3873
4620382.02,2846.1,4445
4620383.01,1873.1,3232
4620383.02,5327.6,8002
4620385,40889.5,1517
4620390,1167.3,1198
4620391,5228.9,1656
4620392,3472.5,1522
4620393,6593.8,6874
4620394,2743.6,3689
4620395.01,357.4,2731
4620395.02,9372.4,6451
4620395.03,7470.7,4590
4620396,4454.6,6501
4620397,3403.6,4038
4620400,3794.3,5232
4620401,3217.7,3116
4620402,691.6,1686
4620403,3946.2,5198
4620404,3521.1,5044
4620410.01,6360.5,5540
4620410.02,7790.4,5948
4620410.03,863.3,1905
4620412,4876.6,7329
4620413.01,4785.2,3865
4620413.02,4726.6,3812
4620415.03,16417.4,4193
4620415.04,9951.8,4748
4620415.05,717.8,7819
4620415.06,427.7,7683
4620416.01,4747.9,4050
4620416.02,2949.9,3067
4620417.01,7190.5,4804
4620417.02,7909.7,2857
4620418,4534.8,5907
4620419,12529,4746
4620420,6189.4,5157
4620421.01,19038.1,7897
4620421.02,13459.5,7501
4620430,3377.5,6711
4620431,2443.9,5413
4620432,2504.4,3267
4620433,233,3589
4620440,26.1,5
4620450,1911.5,7183
4620451,2024.2,6731
4620452,2306.8,7275
4620453.01,2638.5,5212
4620453.02,744,4979
4620460,1492.1,5345
4620461,1567,2942
4620462.01,2135.5,5085
4620462.02,1868.6,5952
4620470.01,2037.6,7159
4620470.03,2131.5,5156
4620470.04,2312.7,3642
4620470.05,1976.7,4194
4620480,633.9,3823
4620490,3530.8,2432
4620491,257.9,2526
4620500,122.4,921
4620511.01,2261.7,3295
4620511.02,4042.6,6209
4620512.02,3027.1,4449
4620512.03,3659.1,2512
4620512.04,3770.4,6674
4620513.01,4816.7,5229
4620513.02,3387.8,4227
4620514.01,3494.8,6997
4620514.02,3344.2,6255
4620515.01,655.2,5975
4620515.02,4881.5,4551
4620515.03,3442.6,3328
4620515.04,4377.2,3655
4620520.02,4370.2,7081
4620520.03,2470.4,3655
4620520.04,4286.8,4544
4620521.01,5733.5,4819
4620521.04,3554.2,4983
4620521.05,3624.4,4882
4620521.06,2407.1,5029
4620521.07,2084.7,4291
4620522.01,2903.4,3557
4620522.02,3307.6,3595
4620523,3228,2463
4620530,2642,5941
4620540,4215.1,3700
4620550.02,242.5,3233
4620550.03,1331.6,6683
4620550.04,1083.3,4797
4620570,314.5,3850
4620580.01,3647.9,4260
4620580.02,4025.1,3235
4620580.03,3588.7,3879
4620581.01,4342.7,5708
4620581.02,5224.2,3495
4620582.01,5563.7,6465
4620582.02,4713.3,6033
4620583,4327.6,3205
4620584,4389,7022
4620585.01,576.4,1995
4620585.02,698.1,3900
4620590.01,3637.2,5439
4620590.02,11129.6,3340
4620591.01,5469.1,2664
4620591.02,6066.5,4158
4620592,7745.6,7418
4620593.01,4880.1,5087
4620593.02,9362.5,4538
4620594.01,6756.6,2704
4620594.02,938.3,7448
4620600.01,5306.4,3931
4620600.02,10024.2,4141
4620600.03,9494.9,6617
4620601.01,10224.2,3284
4620601.02,10449.2,4466
4620602.01,7062.9,3809
4620602.02,4680.6,2880
4620603.01,6784.9,3615
4620603.02,6520.4,4072
4620603.03,9926.9,3532
4620604.01,3473.7,3241
4620604.02,13211,4501
4620604.03,6137.7,3040
4620604.04,4562.6,3468
4620604.05,8867.2,5229
4620605.01,2585.2,3491
4620605.02,3456.7,1998
4620605.03,5735.5,5911
4620605.04,3098.6,4907
4620605.05,3782,2172
4620610.01,4856.5,4536
4620610.02,9876.5,4558
4620610.03,6742.6,5297
4620610.04,18673.5,3632
4620610.05,11441.2,4406
4620610.06,8144.7,2792
4620610.07,7815.7,4301
4620611.01,3963.5,2822
4620611.02,9814,5541
4620612,6216.2,4641
4620613,7467.4,7398
4620614,7752.5,3446
4620615,9975,5584
4620616,8757.1,6609
4620617.01,6035.8,5460
4620617.02,5972,3926
4620618,6915.1,3479
4620619,10146.8,5806
4620625.01,1179.3,6083
4620625.02,3776.5,7541
4620626,677.7,7174
4620627,1333.3,6850
4620628.01,2701.7,4724
4620628.02,4594.8,3753
4620629,2892.1,3432
4620630.01,3065.3,3697
4620630.02,2346.2,5186
4620631,310.7,7772
4620632.01,3268.4,4964
4620632.02,2410.4,4807
4620632.03,1419.4,5970
4620632.04,3780.1,7175
4620633,3205,5236
4620634,3642.3,2979
4620635,5328.9,5517
4620636,3253.3,7262
4620637.01,3139.9,4988
4620637.02,2976.6,4214
4620638.01,6010.5,5511
4620638.02,4687,2104
4620638.03,6359.9,4312
4620638.04,7693.5,6331
4620639,3088.1,4135
4620640,4968.6,3958
4620641.01,6244.2,8489
4620641.02,2677.5,3431
4620642,765.1,7369
4620643.01,1744.9,5540
4620643.02,1874.1,6778
4620643.03,3589.5,5563
4620644,817.2,1214
4620645,4199.9,6415
4620646.01,6964.4,3618
4620646.02,6066.4,3817
4620646.03,7030,3496
4620647.01,9718.3,3001
4620647.02,4596.4,7426
4620648,4617.6,5229
4620649.01,1797,2628
4620649.02,4199.8,5437
4620650.01,5851,4483
4620650.02,5595.9,4080
4620650.04,3847.4,6851
4620650.05,4920,4276
4620651.01,2960.3,6389
4620651.02,1512,7658
4620652.01,2801.6,8413
4620652.04,3356.9,4266
4620652.06,1828.4,4035
4620652.07,924.6,8884
4620652.08,3442.2,5112
4620652.09,4110.4,4265
4620653,1552.8,952
4620654,438.2,744
4620655.01,2854.8,4206
4620655.02,2680.5,6656
4620656.01,1165.5,7171
4620656.03,1047.1,3975
4620656.04,3519.9,7212
4620657.01,1948.1,3695
4620657.02,3769,5805
4620657.03,2529.2,4511
4620658.01,3465,4306
4620658.02,3502.6,3173
4620658.03,1411.6,8117
4620659.04,765.6,4621
4620659.05,3147,7458
4620659.06,2460.6,4430
4620659.08,4770.9,6581
4620659.09,4031.6,3518
4620659.1,3256.5,3546
4620659.11,2700.2,6572
4620660.01,2744.3,5498
4620660.02,3898.4,5503
4620660.03,3455.8,7167
4620661.01,1694.6,9616
4620661.03,235.8,4556
4620661.04,4791.8,4627
4620662,170.7,4939
4620675,1588.4,6009
4620676.01,2346.2,3542
4620676.02,2512.4,2843
4620676.03,2056.9,2407
4620676.04,2154.9,3275
4620677.01,2688.5,6141
4620677.02,2393.1,5224
4620677.05,2558.7,4864
4620677.06,3149.1,8429
4620677.07,3887.7,3927
4620677.08,2979.9,7440
4620677.09,3392.9,4275
4620677.1,3232.7,4496
4620681,94.6,3439
4620682.02,209.3,2506
4620682.03,357.5,7686
4620682.04,3160.2,3402
4620682.05,3890.7,2997
4620682.06,3021.3,4822
4620683,2706.2,5913
4620684.03,521.4,8919
4620684.05,1377.8,5468
4620684.08,2132.9,5750
4620684.09,319.7,3425
4620684.1,988,4029
4620684.11,1237.8,4502
4620685.02,74.9,4242
4620685.03,762.6,5881
4620685.04,3437.4,3105
4620685.05,1639,4504
4620685.07,1661.7,5645
4620685.08,2853.9,10087
4620686.01,221.9,5795
4620686.02,1032.9,4088
4620686.03,1647.8,3345
4620687.01,1417.6,4473
4620687.03,651.3,10304
4620687.04,2853.1,4959
4620687.06,2029.8,5347
4620687.07,2900.7,5773
4620687.09,172.9,3536
4620687.1,400.4,8797
4620688.02,40.2,3610
4620688.03,2571.8,5221
4620688.04,3113,5590
4620689.01,2477.1,6791
4620689.02,2347.6,3678
4620689.03,2228.1,8135
4620689.04,177.4,5637
4620690,112.5,7383
4620691,2270.6,6274
4620692,144.8,9286
4620693,2599.4,5248
4620694,240.2,7895
4620700.01,3582.4,4737
4620700.03,1810.9,2791
4620700.04,2882.6,4524
4620701.01,1937.6,3354
4620701.02,2359.6,6282
4620702.01,1246.7,2544
4620702.02,1752.7,6808
4620703.02,848.4,3796
4620703.03,1426.9,4456
4620703.04,1759.6,5706
4620704.01,2665.3,4717
4620704.04,2490,4468
4620704.05,1278.7,6239
4620704.06,763.2,1796
4620704.08,353.8,5147
4620704.09,1827.8,4517
4620705.01,2130.5,3370
4620705.02,2722.8,5213
4620706,2801.7,3838
4620707,2510,4656
4620708.01,3905,4725
4620708.02,2703.6,4187
4620709.01,2275.7,8428
4620709.02,2639.3,6320
4620710.03,2835.4,8771
4620710.05,231.3,7469
4620710.06,1688.7,3533
4620710.07,1404.3,4757
4620710.08,3514.7,4334
4620710.09,1560.7,5506
4620710.1,1983.9,5002
4620710.11,2997.8,2743
4620725.03,2323.3,3620
4620725.04,1140.9,3236
4620725.06,31,1637
4620725.07,4381.3,6352
4620725.09,1735.5,3783
4620725.1,1540.5,4957
4620726.01,3358.5,6281
4620726.03,3888.9,4902
4620726.04,2355.1,1873
4620727.01,2931.8,3295
4620727.02,2721.7,4072
4620728.01,3800.6,6688
4620728.02,2283.3,4383
4620728.03,2877.6,2635
4620729,2538.2,3790
4620730.01,1967.4,11350
4620730.02,2259.1,6724
4620731,1391.3,6428
4620732.01,161.8,6687
4620732.03,,
4620732.04,66.7,3824
4620733.01,18,4160
4620733.02,39.2,1686
4620734.03,1116,5907
4620734.04,152.7,3662
4620734.05,227.3,7337
4620734.06,2365.4,5082
4620734.07,70.6,9098
4620735.01,126.4,6642
4620735.02,964.7,8625
4620740.01,20.5,1904
4620740.03,156.2,7040
4620740.04,183.9,8979
4620750.01,333.2,5152
4620750.02,431.4,5502
4620750.04,1865.8,1986
4620750.06,1575.5,5651
4620750.07,2601.5,5105
4620751.01,1996.3,6733
4620751.02,2094.9,7825
4620755.01,404.7,8585
4620755.02,2110.8,11737
4620756.02,87.8,954
4620756.03,204.2,7097
4620756.04,2252.1,6273
4620756.05,2897.8,6419
4620757,237.1,5185
4620758.03,179,4250
4620758.04,366.9,5639
4620758.05,577.2,4403
4620758.06,279,5597
4620760,87.2,6777
4620775,220.1,2318
4620776,398.5,3389
4620777.01,141.3,4293
4620777.02,171,5202
4620780,2368.8,3516
4620781,2536.7,5994
4620782,1304,3221
4620783,1128.8,5626
4620784,3235.7,3978
4620785,1269.1,4484
4620786,1333,4476
4620787,1262,8167
4620788,2751.6,5853
4620789,647.5,7843
4620790,537.6,7883
4620791,2023.7,9032
4620792,137.1,4273
4620800.01,1311.5,4750
4620800.02,3207.3,5300
4620801,2774.9,7263
4620802,558.8,3211
4620804.01,2932.8,7239
4620804.02,211.1,2175
4620805,2917.9,9359
4620806.01,1990.9,3286
4620806.02,1137.8,5323
4620807.01,432.6,8337
4620807.02,178.2,4778
4620825.02,4143,3853
4620825.03,4418.9,5810
4620825.04,3126.6,5474
4620825.05,2931.2,5008
4620825.06,3744,5139
4620825.07,4259.2,6873
4620825.08,208.1,1996
4620826.02,2814.3,4681
4620826.05,2598.5,4043
4620826.06,3611.8,4021
4620826.07,5513.6,4568
4620826.08,2686.7,3349
4620826.09,2550.6,3387
4620826.1,3036.7,6092
4620826.11,4190,4438
4620826.13,3997.3,4070
4620826.14,700,10063
4620827.02,2123.7,7141
4620827.03,1697.7,7430
4620827.04,265.4,9539
4620828.03,1796.7,5302
4620828.04,1269.1,3753
4620828.05,2031.8,5961
4620828.06,712.2,6031
4620829,977.7,7457
4620830.01,1075.2,7105
4620830.03,3797.3,5705
4620830.04,3233.4,4237
4620831.03,2381.7,4958
4620831.04,2740.6,4741
4620831.05,2377.6,4589
4620831.07,38.8,2970
4620831.08,1781.2,8030
4620831.09,2512.6,4227
4620832,,
4620833,102,6320
4620834,49.8,2608
4620850.01,2500,10324
4620850.03,3359.2,5029
4620850.04,578,4867
4620850.05,471.2,3639
4620851,1565.3,5261
4620852.01,158.1,8617
4620852.02,109,845
4620853.02,281.6,5692
4620853.03,1846.6,5683
4620853.04,451,5684
4620854.01,1990.6,5619
4620854.02,294.4,5931
4620855.01,648.3,5124
4620855.03,1609.3,6354
4620855.04,404.8,3366
4620856,159.3,2468
4620857.01,3206.4,4774
4620857.02,3618.5,4276
4620857.06,3939.3,5621
4620857.07,722.4,7275
4620857.08,1484.9,5733
4620857.09,2187,5208
4620857.1,866.4,5716
4620857.11,1727.6,3749
4620857.12,3452.3,3771
4620858.01,3130.1,4729
4620858.02,3232.8,3879
4620858.04,1976,5524
4620858.05,297.7,3011
4620859,3809,2856
4620860.01,3813.7,6335
4620860.02,3171.9,3826
4620861,3444.3,6572
4620862,3025.7,6859
4620863.01,2447,3438
4620863.02,3286.6,6280
4620864,2633.7,5284
4620865,3406.8,1778
4620866,6037.5,2965
4620867,4187.8,6401
4620868.01,3504.3,5596
4620868.02,4846.1,5856
4620869,2901,3109
4620870.01,3528.7,3552
4620870.02,3821.4,2268
4620871.01,5061.6,3741
4620871.02,4106.4,2006
4620872,3659.8,6296
4620873.01,10334.5,4356
4620873.02,6443.7,4220
4620874,5744.1,4948
4620875,6387.1,4759
4620876.01,5280.9,3817
4620876.04,2928.6,7727
4620876.05,1797.8,8512
4620876.06,5613.5,5687
4620876.07,2250.5,2257
4620877.01,1813.5,9240
4620877.02,4016.7,5978
4620878,4550.9,4986
4620879.01,5082.9,3159
4620879.02,4814.3,3694
4620880,4376.5,3955
4620881.01,6444.9,3477
4620881.02,5931,3625
4620882,3743.7,2612
4620883,2649.5,2636
4620884.01,4729.7,3404
4620884.02,3863.7,7460
4620885,2385.5,3869
4620886.01,702.3,3094
4620886.02,1441.8,3051
4620886.03,1415.1,3142
4620887.03,314.7,3599
4620887.04,2618.9,5112
4620887.05,2367.6,4697
4620887.06,2533.1,4515
4620887.07,2,20
4620888.01,102.9,3114
4620888.02,2358.7,5593
4620888.03,2139.6,4558
4620889.01,1926.7,2611
4620889.02,720.1,2859
4620889.03,1508.5,4993
4620900,2092.9,4693
4620901.01,2009.3,4919
4620901.02,2652.8,4401
4620901.03,467.7,8445
4620902,1827.5,5698
4620903.01,716.6,7335
4620903.04,2972.6,4216
4620903.05,3039.6,3735
4620903.08,3330.1,2750
4620903.09,437.4,6067
4620903.1,266,6100
4620903.11,1035.9,3892
4620903.12,3086.2,5990
4620903.13,66.5,2619
4620903.14,67.4,1963
4620904.02,291,4964
4620904.03,65.6,4821
4620904.04,2551.9,3517
4620904.05,2812.1,3744
4620904.06,3610.3,4211
4620926.01,169,5236
4620926.02,96.1,4531
4620929.01,1653.9,3737
4620929.02,1504.2,4684
4620930.02,587.8,9197
4620930.03,349.3,2605
4620930.04,321.6,6783
4621000,2387.4,5493
4621001,58.6,3200
4621002,80.4,5835
4621003,150.2,7044
4621004,461.4,5368
4621005,316.1,7934
4621006,175.6,20786
4622001,1009.2,8031
4622002,18.8,417
4622003,66,130
4622004,2582.7,3015
4622005,3037.9,3640
4622006,0,0
4622007,3079.9,1349
4622008,4844.5,2430
4622009,2840.3,5350
4622010,1.4,5
4622011,4069.9,2538
4622012,2309.3,1608
4622013,2233.8,3942
4622014,2548.4,3827
4622015,3757.1,4637
4622100,209,1984
4622101,132.3,1033
4622102,21.8,1054
4622103,460.7,1672
4622200,2535.1,5527
4622201,2973,4367
4622202,2033.1,7397
4622203,1378.5,3553
4622204,182,822
4622205,1247.6,4132
4622206,73.4,1956
4622207,127,883
4622300,2239.8,2953
4622301,3519.9,3176
4622302,2656.7,2688
4622303,0,0
4622304,1557.5,1094
4622400,58.8,2729
4622401,837.5,3691
4622402,1250,3484